Fluminense|2|0|Bahia|1.73|3.80|4.50
Botafogo|4|2|Fortaleza|1.84|3.70|3.40
Corinthians|1|1|Juventude|1.57|4.10|5.50
Santos|3|0|Cruzeiro|1.36|4.80|8.25
Atlético Mineiro|5|0|Vasco da Gama|1.57|4.20|6.00
Internacional|3|1|Bragantino|1.74|3.80|4.45
Vitória|1|0|São Paulo|2.40|3.05|3.10
Ceará|1|3|Palmeiras|2.20|3.20|3.15
Sport Recife|0|4|Grêmio|4.75|3.86|1.72
Mirassol|3|3|Flamengo|1.28|5.00|8.40
Cruzeiro|2|2|Botafogo|1.75|3.48|5.10
Atlético Mineiro|0|3|Palmeiras|3.25|3.00|2.20
Flamengo|1|0|Ceará|1.20|5.25|10.00
São Paulo|3|0|Internacional|2.56|3.10|2.70
Bahia|2|0|Sport Recife|1.22|6.80|12.00
Juventude|0|3|Santos|5.25|3.65|1.72
Bragantino|4|0|Vitória|1.91|3.46|3.55
Fortaleza|2|1|Corinthians|1.90|3.25|4.60
Grêmio|1|2|Fluminense|2.95|3.10|2.45
Vasco da Gama|0|2|Mirassol|2.10|3.30|3.45
Fortaleza|1|0|Atlético Mineiro|2.28|3.15|3.15
Corinthians|2|2|Botafogo|2.30|3.15|3.00
Ceará|1|1|Cruzeiro|3.14|3.25|2.37
Vitória|2|0|Mirassol|2.52|2.97|2.59
Santos|3|0|Sport Recife|1.32|5.50|8.50
Vasco da Gama|5|1|Internacional|2.41|3.30|3.00
Juventude|1|1|Bahia|3.15|3.55|2.29
Fluminense|6|0|São Paulo|1.47|3.40|6.00
Bragantino|0|1|Fortaleza|1.85|3.55|4.00
Atlético Mineiro|1|1|Flamengo|3.75|3.05|2.00
Grêmio|3|2|Palmeiras|2.29|3.15|3.24
Internacional|1|1|Santos|2.18|3.15|3.64
Mirassol|3|0|Ceará|1.65|3.75|5.25
Cruzeiro|3|0|Corinthians|1.58|3.50|4.90
Sport Recife|1|3|Vitória|3.10|3.30|2.20
São Paulo|2|1|Juventude|1.68|3.75|5.50
Bahia|1|0|Vasco da Gama|1.70|3.80|4.35
Flamengo|3|0|Bragantino|1.22|4.95|8.75
Palmeiras|0|0|Fluminense|1.59|3.90|6.00
Botafogo|3|2|Grêmio|1.65|3.85|5.25
Ceará|1|2|Internacional|2.10|2.95|3.30
Corinthians|3|1|São Paulo|2.54|2.76|3.40
Bahia|2|3|Fortaleza|1.53|4.50|5.50
Juventude|3|3|Cruzeiro|4.00|3.20|1.90
Fluminense|2|1|Flamengo|3.50|2.95|2.30
Santos|1|1|Mirassol|1.95|3.00|3.15
Grêmio|2|0|Vasco da Gama|2.00|3.60|3.77
Palmeiras|0|0|Vitória|1.29|5.20|9.00
Botafogo|3|2|Sport Recife|1.22|6.45|11.00
Bragantino|2|0|Atlético Mineiro|2.23|3.00|3.15
Santos|1|0|Palmeiras|3.28|3.45|2.36
Sport Recife|1|5|Flamengo|7.50|4.60|1.29
Atlético Mineiro|3|3|Fortaleza|1.64|3.79|5.25
Mirassol|2|1|Palmeiras|3.70|3.42|2.05
Fortaleza|2|2|Grêmio|2.05|3.40|3.60
Flamengo|3|2|Santos|1.36|5.00|8.75
Corinthians|0|1|Ceará|1.68|3.40|5.30
Cruzeiro|0|0|Fluminense|1.85|3.10|4.25
Vitória|0|0|Botafogo|3.30|3.31|2.20
São Paulo|0|1|Bragantino|1.75|3.48|4.80
Internacional|2|2|Bahia|2.32|3.25|3.00
Vasco da Gama|1|3|Juventude|1.49|4.30|6.00
Sport Recife|2|4|Atlético Mineiro|2.68|2.96|2.45
Palmeiras|2|0|Santos|1.40|4.50|8.00
Ceará|1|1|Fortaleza|2.38|2.98|3.53
Fluminense|1|0|Mirassol|1.90|3.34|4.36
São Paulo|2|2|Flamengo|4.12|3.05|1.98
Atlético Mineiro|3|0|Bahia|2.27|3.00|3.20
Grêmio|0|1|Cruzeiro|3.00|3.25|2.29
Botafogo|3|0|Vasco da Gama|1.88|3.45|4.00
